concept_id,family,display_name,aggregation,source_file,source_columns,main,notes
t_amp_limb,ST_T,T amplitude limb,lead_absmax,12sl_features.csv,T_Amp_I|T_Amp_II|T_Amp_III|T_Amp_aVR|T_Amp_aVL|T_Amp_aVF,yes,Limb aggregate.
t_amp_precordial,ST_T,T amplitude precordial,lead_absmax,12sl_features.csv,T_Amp_V1|T_Amp_V2|T_Amp_V3|T_Amp_V4|T_Amp_V5|T_Amp_V6,yes,Precordial aggregate.
t_area_global,ST_T,T area global,lead_absmax,12sl_features.csv,T_AreaFull_{lead},yes,Aggregate over all 12 leads.
t_area_limb,ST_T,T area limb,lead_absmax,12sl_features.csv,T_AreaFull_I|T_AreaFull_II|T_AreaFull_III|T_AreaFull_aVR|T_AreaFull_aVL|T_AreaFull_aVF,yes,Limb aggregate.
t_area_precordial,ST_T,T area precordial,lead_absmax,12sl_features.csv,T_AreaFull_V1|T_AreaFull_V2|T_AreaFull_V3|T_AreaFull_V4|T_AreaFull_V5|T_AreaFull_V6,yes,Precordial aggregate.
st_elev_global,ST_T,ST elevation global,lead_absmax,ecgdeli_features.csv,ST_Elev_{lead},yes,Aggregate over all 12 leads.
st_elev_inferior,ST_T,ST elevation inferior,lead_absmax,ecgdeli_features.csv,ST_Elev_II|ST_Elev_III|ST_Elev_aVF,yes,Inferior group aggregate.
st_elev_lateral,ST_T,ST elevation lateral,lead_absmax,ecgdeli_features.csv,ST_Elev_I|ST_Elev_aVL|ST_Elev_V5|ST_Elev_V6,yes,Lateral group aggregate.
st_elev_anterior,ST_T,ST elevation anterior,lead_absmax,ecgdeli_features.csv,ST_Elev_V1|ST_Elev_V2|ST_Elev_V3|ST_Elev_V4,yes,Anterior group aggregate.
st_amp_global,ST_T,ST amplitude global,lead_absmax,12sl_features.csv,ST_Amp_{lead},yes,Aggregate over all 12 leads.
st_amp_inferior,ST_T,ST amplitude inferior,lead_absmax,12sl_features.csv,ST_Amp_II|ST_Amp_III|ST_Amp_aVF,yes,Inferior group aggregate.
st_amp_lateral,ST_T,ST amplitude lateral,lead_absmax,12sl_features.csv,ST_Amp_I|ST_Amp_aVL|ST_Amp_V5|ST_Amp_V6,yes,Lateral group aggregate.
st_amp_anterior,ST_T,ST amplitude anterior,lead_absmax,12sl_features.csv,ST_Amp_V1|ST_Amp_V2|ST_Amp_V3|ST_Amp_V4,yes,Anterior group aggregate.
qrs_balance_global,AMPLITUDE,QRS balance global,lead_absmax,12sl_features.csv,QRS_Balance_{lead},yes,Amplitude morphology aggregate.
qrs_area_global,AMPLITUDE,QRS area global,lead_absmax,12sl_features.csv,QRS_Area_{lead},yes,Area morphology aggregate.
p_area_global,AMPLITUDE,P area global,lead_absmax,12sl_features.csv,P_AreaFull_{lead},yes,Area morphology aggregate.
p_area_limb,AMPLITUDE,P area limb,lead_absmax,12sl_features.csv,P_AreaFull_I|P_AreaFull_II|P_AreaFull_III|P_AreaFull_aVR|P_AreaFull_aVL|P_AreaFull_aVF,yes,Limb aggregate.
p_area_precordial,AMPLITUDE,P area precordial,lead_absmax,12sl_features.csv,P_AreaFull_V1|P_AreaFull_V2|P_AreaFull_V3|P_AreaFull_V4|P_AreaFull_V5|P_AreaFull_V6,yes,Precordial aggregate.
t_duration_global,ST_T,T duration global,global,ecgdeli_features.csv,T_Dur_Global,yes,Global duration.
ha_global,AMPLITUDE,Heart axis auxiliary global,global,ecgdeli_features.csv,HA__Global,no,Extended candidate; not part of frozen main set unless preregistered.
